video_id,track_id,frame,x,y
video0,1,1,90.7123521875452,924.0111988208912
video0,2,1,278.30551769115306,616.4954653139467
video0,3,1,265.8600051314742,565.395349573206
video0,4,1,270.62330231843174,823.5448540581597
video0,5,1,216.15422566731772,1058.2436184353298
video0,6,1,530.0321078830295,588.6973142270689
video0,7,1,452.38283284505206,565.5148417154948
video0,8,1,85.37355324074073,589.6509037724247
video0,1,2,90.71142351103992,924.0049974395007
video0,2,2,277.4238610244379,616.9209151105183
video0,3,2,267.3035809772771,561.7419969512194
video0,4,2,270.73742229182545,821.8483362709603
video0,5,2,216.91915238543254,1057.6447408536585
video0,6,2,532.3883518125953,588.5522740806022
video0,7,2,451.871474847561,565.4324492663872
video0,8,2,88.23081672482374,589.5548292206555
video0,1,3,90.7123895484697,924.0115269416685
video0,2,3,277.631438725492,618.1914513529314
video0,3,3,270.12264521946685,560.3534267544971
video0,4,3,270.98627185569717,820.7728153834564
video0,5,3,217.10632149816144,1056.604260065114
video0,6,3,535.595601453461,587.5366859507983
video0,7,3,453.0044648218317,564.5709765882863
video0,8,3,92.10456595462207,590.3037121807661
video0,1,4,90.7094396617301,924.0179080002316
video0,2,4,277.86021134404365,619.1784759892015
video0,3,4,273.2936910157732,560.4568786305748
video0,4,4,271.27255333772587,819.0134014266617
video0,5,4,217.2465294335616,1056.1914791342701
video0,6,4,539.0248992060605,585.9560513566613
video0,7,4,453.18575959536986,563.8067448191543
video0,8,4,95.27099792768222,590.5223744539475
video0,9,4,512.5126387984665,471.7119428846571
video0,1,5,90.7146674402107,924.0298306798285
video0,2,5,277.8270619492515,619.65298613657
video0,3,5,275.5961272344923,560.335838579632
video0,4,5,271.4717702945849,817.4051774976351
video0,5,5,217.4550815008013,1055.7865127963305
video0,6,5,542.1341693557397,584.4333873224604
video0,7,5,453.20975009356147,563.5537103820965
video0,8,5,100.6556650252227,590.4299997078731
video0,9,5,512.595098132622,471.65742634098706
video0,1,6,90.67598007697374,924.0342561211577
video0,2,6,277.6718069213669,620.387276125821
video0,3,6,278.26679050035676,560.1510838001556
video0,4,6,272.1918814193066,816.0850724566429
video0,5,6,218.30752192457362,1055.2325435672892
video0,6,6,545.2217558026655,583.4130722229887
video0,7,6,452.41868449884674,562.6401180490064
video0,8,6,104.6992074747351,591.099064987781
video0,9,6,513.7390378004468,470.78261295348824
video0,1,7,90.67519809265121,924.0206579464079
video0,2,7,277.6384442067668,620.9735713681736
video0,3,7,280.8550124567338,561.0345440432086
video0,4,7,271.80821763356494,815.8752638996123
video0,5,7,218.47678530178132,1055.1286922832458
video0,6,7,547.9370724015162,582.8648644512186
video0,7,7,452.28199233757977,562.1174814926211
video0,8,7,109.39219124204801,591.1933618746498
video0,9,7,513.995242769975,470.63240113353214
video0,1,8,90.67319439848211,924.0148152485918
video0,2,8,277.3162832454351,620.8985854795103
video0,3,8,283.6223236742331,562.1498334762209
video0,4,8,272.0006212808874,813.9291066901715
video0,5,8,218.63749135377614,1055.0168320665086
video0,6,8,551.1787873788891,582.6591811323212
video0,7,8,452.2021826787388,561.6791314155405
video0,8,8,115.36404775703784,590.5687803202445
video0,9,8,514.1024312807625,470.4650899958623
video0,1,9,90.68267819872764,924.0180652750113
video0,2,9,276.8206034895002,624.71906766672
video0,3,9,286.17165917216306,561.1531115569882
video0,4,9,272.25923447012644,811.9042194439082
video0,5,9,218.25389093042423,1054.5922274090256
video0,6,9,554.7157457763176,581.3200527369253
video0,7,9,451.91717275466135,561.261617069368
video0,8,9,119.69977353739417,590.0015864693045
video0,9,9,514.8027962484307,470.3690289674469
video0,1,10,90.68529797810274,924.0234549347714
